Year,Value,Type,Model,Sheet
1950,973.0,Historical,-,FoodGrain
1951,970.0,Historical,-,FoodGrain
1952,1021.0,Historical,-,FoodGrain
1953,1091.0,Historical,-,FoodGrain
1954,1079.0,Historical,-,FoodGrain
1955,1106.0,Historical,-,FoodGrain
1956,1111.0,Historical,-,FoodGrain
1957,1095.0,Historical,-,FoodGrain
1958,1148.0,Historical,-,FoodGrain
1959,1158.0,Historical,-,FoodGrain
1960,1156.0,Historical,-,FoodGrain
1961,1172.0,Historical,-,FoodGrain
1962,1178.0,Historical,-,FoodGrain
1963,1174.0,Historical,-,FoodGrain
1964,1181.0,Historical,-,FoodGrain
1965,1151.0,Historical,-,FoodGrain
1966,1153.0,Historical,-,FoodGrain
1967,1214.0,Historical,-,FoodGrain
1968,1204.0,Historical,-,FoodGrain
1969,1236.0,Historical,-,FoodGrain
1970,1243.0,Historical,-,FoodGrain
1971,1226.0,Historical,-,FoodGrain
1972,1193.0,Historical,-,FoodGrain
1973,1265.0,Historical,-,FoodGrain
1974,1211.0,Historical,-,FoodGrain
1975,1282.0,Historical,-,FoodGrain
1976,1244.0,Historical,-,FoodGrain
1977,1275.0,Historical,-,FoodGrain
1978,1290.0,Historical,-,FoodGrain
1979,1252.0,Historical,-,FoodGrain
1980,1267.0,Historical,-,FoodGrain
1981,1291.0,Historical,-,FoodGrain
1982,1251.0,Historical,-,FoodGrain
1983,1312.0,Historical,-,FoodGrain
1984,1267.0,Historical,-,FoodGrain
1985,1280.0,Historical,-,FoodGrain
1986,1272.0,Historical,-,FoodGrain
1987,1197.0,Historical,-,FoodGrain
1988,1277.0,Historical,-,FoodGrain
1989,1268.0,Historical,-,FoodGrain
1990,1278.0,Historical,-,FoodGrain
1991,1219.0,Historical,-,FoodGrain
1992,1232.0,Historical,-,FoodGrain
1993,1228.0,Historical,-,FoodGrain
1994,1237.0,Historical,-,FoodGrain
1995,1210.0,Historical,-,FoodGrain
1996,1236.0,Historical,-,FoodGrain
1997,1239.0,Historical,-,FoodGrain
1998,1252.0,Historical,-,FoodGrain
1999,1231.0,Historical,-,FoodGrain
2000,1211.0,Historical,-,FoodGrain
2001,1228.0,Historical,-,FoodGrain
2002,1139.0,Historical,-,FoodGrain
2003,1235.0,Historical,-,FoodGrain
2004,1201.0,Historical,-,FoodGrain
2005,1216.0,Historical,-,FoodGrain
2006,1237.0,Historical,-,FoodGrain
2007,1241.0,Historical,-,FoodGrain
2008,1228.0,Historical,-,FoodGrain
2009,1213.0,Historical,-,FoodGrain
2010,1267.0,Historical,-,FoodGrain
2011,1248.0,Historical,-,FoodGrain
2012,1207.0,Historical,-,FoodGrain
2013,1260.0,Historical,-,FoodGrain
2014,1220.0,Historical,-,FoodGrain
2015,1232.0,Historical,-,FoodGrain
2016,1292.0,Historical,-,FoodGrain
2017,1275.0,Historical,-,FoodGrain
2018,1248.0,Historical,-,FoodGrain
2019,1270.0,Historical,-,FoodGrain
2020,1298.0,Historical,-,FoodGrain
2021,1302.0,Historical,-,FoodGrain
2022,1322.0,Historical,-,FoodGrain
2023,1312.5881410973602,Forecast,Exponential Smoothing,FoodGrain
2024,1320.290559620412,Forecast,Exponential Smoothing,FoodGrain
2025,1339.8474844485174,Forecast,Exponential Smoothing,FoodGrain
2026,1340.801826907054,Forecast,Exponential Smoothing,FoodGrain
2027,1350.1959037275503,Forecast,Exponential Smoothing,FoodGrain
2028,1357.8983222506022,Forecast,Exponential Smoothing,FoodGrain
2029,1377.4552470787075,Forecast,Exponential Smoothing,FoodGrain
2030,1378.409589537244,Forecast,Exponential Smoothing,FoodGrain
2031,1387.8036663577407,Forecast,Exponential Smoothing,FoodGrain
2032,1395.5060848807925,Forecast,Exponential Smoothing,FoodGrain
2033,1415.0630097088979,Forecast,Exponential Smoothing,FoodGrain
2034,1416.0173521674344,Forecast,Exponential Smoothing,FoodGrain
2035,1425.411428987931,Forecast,Exponential Smoothing,FoodGrain
2036,1433.1138475109826,Forecast,Exponential Smoothing,FoodGrain
2037,1452.670772339088,Forecast,Exponential Smoothing,FoodGrain
2038,1453.6251147976245,Forecast,Exponential Smoothing,FoodGrain
2039,1463.019191618121,Forecast,Exponential Smoothing,FoodGrain
2040,1470.721610141173,Forecast,Exponential Smoothing,FoodGrain
2041,1490.2785349692783,Forecast,Exponential Smoothing,FoodGrain
2042,1491.2328774278149,Forecast,Exponential Smoothing,FoodGrain
2043,1500.6269542483114,Forecast,Exponential Smoothing,FoodGrain
2044,1508.3293727713633,Forecast,Exponential Smoothing,FoodGrain
2045,1527.8862975994687,Forecast,Exponential Smoothing,FoodGrain
2046,1528.840640058005,Forecast,Exponential Smoothing,FoodGrain
2047,1538.2347168785016,Forecast,Exponential Smoothing,FoodGrain
2048,1545.9371354015534,Forecast,Exponential Smoothing,FoodGrain
2049,1565.4940602296588,Forecast,Exponential Smoothing,FoodGrain
2050,1566.4484026881953,Forecast,Exponential Smoothing,FoodGrain
2051,1575.842479508692,Forecast,Exponential Smoothing,FoodGrain
2022,1294.2251018141424,Forecast,Linear Regression,FoodGrain
2023,1296.4292237442914,Forecast,Linear Regression,FoodGrain
2024,1298.6333456744414,Forecast,Linear Regression,FoodGrain
2025,1300.8374676045905,Forecast,Linear Regression,FoodGrain
2026,1303.0415895347396,Forecast,Linear Regression,FoodGrain
2027,1305.2457114648887,Forecast,Linear Regression,FoodGrain
2028,1307.4498333950387,Forecast,Linear Regression,FoodGrain
2029,1309.6539553251878,Forecast,Linear Regression,FoodGrain
2030,1311.8580772553369,Forecast,Linear Regression,FoodGrain
2031,1314.062199185486,Forecast,Linear Regression,FoodGrain
2032,1316.266321115636,Forecast,Linear Regression,FoodGrain
2033,1318.470443045785,Forecast,Linear Regression,FoodGrain
2034,1320.6745649759341,Forecast,Linear Regression,FoodGrain
2035,1322.878686906084,Forecast,Linear Regression,FoodGrain
2036,1325.0828088362332,Forecast,Linear Regression,FoodGrain
2037,1327.2869307663823,Forecast,Linear Regression,FoodGrain
2038,1329.4910526965314,Forecast,Linear Regression,FoodGrain
2039,1331.6951746266814,Forecast,Linear Regression,FoodGrain
2040,1333.8992965568304,Forecast,Linear Regression,FoodGrain
